item_id	user_id	rating	timestamp
B005T800V2	AENNORCDOTT2KFT5WUIK7PJ2EXOA	2.0	1563173219149
B09JMYM88H	AFDJ42FTDSG66VNZWEEZOMRXACWQ	5.0	1411821457000
B079TLFL33	AE5D5Q2I4H7CLGGXKPQPMXOG6JLA	5.0	1500590972300
B07MJVGJSV	AGKFNFL7NL3FG3PL3QNORON2T5HQ	5.0	1364152590000
B000RNB720	AHEJYPLN7DMCYRQ2KCWQ5YIY6JDA	5.0	1313678426000
B00JER27MO	AEGAK36V5XS6MLBKBB5HGZPXSZXQ	5.0	1438031444000
B074WXM13T	AFDAU5M5NRUN4LYLI7N4YROKYLWA	3.0	1423518729000
B0C6J149WZ	AFXQGIJ66AY7POD5254UT7I7SAUA	5.0	1380904947000
B007T8CUNG	AEXESL7NRRWBZW2BNBUJIY5FOEAA	4.0	1433519684000
B08SJY4T7K	AEQRM77IE4PVVBFCPPLAA7UUSPQA	5.0	1542857505832
B01C5TBX68	AFK2TBCV6U4DKNY25YM3KFYIMFHQ	5.0	1496039694000
B08JMQR2JK	AGJNGLJSUQGXIWIXDARX26DQYFQQ	4.0	1471992005000
B0BFKKVQZT	AE3C2M62HHDRFDW6E2XADFQUXCGQ	5.0	1490038875000
B098KXQJVY	AFDDUFUJKO76V3QRS2CZ3KEGSXNA	5.0	1452395147000
B07FYPBL6K	AHN535MBJTI4BGLTUORFR3TLABLA	5.0	1531172095812
B01M8K3VK1	AEGAK36V5XS6MLBKBB5HGZPXSZXQ	5.0	1526594815250
B00HZH4D04	AG7AKOBJWYLRDRZ4U4CSDM2L3BVQ	5.0	1364882601000
B0002E1UDK	AGX2RUHLYMBTGUQMAZNBCWESAWJQ	1.0	1488678268000
B0C3Q29DML	AG7EI3UOXIQXEL5QDZPVKPSVR4UQ	4.0	1491571481000
B09PBL98Q4	AGVH6XX42P6SIONXKWBKGJODPMTA	5.0	1547849697325
B005PGGU9O	AE23ZFVUOMPKR57BVSWXV34QLMVA	3.0	1421904604000
B005M0MUQK	AFCTA7ADJVBKAOXVHUHMRZEEEE4Q	5.0	1450629369000
B01DECWM0G	AHXN24SQSFO4TJAXQSERXXGLO5FA	5.0	1438824551000
B00JER27MO	AG65EMDZJ3RRQSYRZMMBUR7TBA7A	5.0	1473033375000
B07C91JT14	AHZQPH7HHSWLUIQFWEQ54NNKKN6A	5.0	1365033587000
B017NT392Q	AHZER36Y6IL7USHGBCELVMN56VOQ	5.0	1460572723000
B08BSFDY99	AGUSWVPMRRKPI5CS56UWY4VXFZJA	3.0	1382382833000
B08BSFDY99	AHZYZ2BUDD7WAJPW5G6K2DK5LYPQ	5.0	1566861465483
B09WF82F1V	AHC23DBZJ2VVCK6UGCM7NPFP7LQA	5.0	1461484246000
B0B95V41NR	AHTIEJX7M6WFSN6ZAZIAZU7UBWUA	5.0	1526402707983
B0BT9R8MMV	AHSLFXG4FNPYB567N4G2TZH6SK5A	5.0	1420001914000
B09RTZ26KV	AE3XROIUIHODMUU67SFRYVQGX3LA	5.0	1452457548000
B005H2007E	AGK24I67HJO562FE5RKCGI24T3HA	3.0	1421907284000
B097Q9W8MW	AHIPKIT25JKKXMUL332SVAWYAKBA	5.0	1533399764716
B00JL5I3AO	AEYIGWWXTT5AD4ZONPSHMK53WR2Q	5.0	1548035310264
B0BKR2ZM9X	AGKHDZNI4XVSWKG7HAW3XMGICRDQ	5.0	1529600640078
B0B8FSCM9L	AF4H7MSDHSUVEMA2BPLP6MWGITGQ	5.0	1492916720000
B00IPH8MD2	AHSCA5GKZMVKAYKINVSXB6E3XMTQ	5.0	1464649519000
B09V91H5XM	AH7I57UVCR75DY4O5MDVVGWT2CJQ	5.0	1562644373433
